D 5 5 3 D 1 5 3 D 1 1 5 5 5 5 5 5 5 3 B
9 5 3 C 5 6 B C 3 A A 9 3 9 5 3 D 1 6 A
C 3 A 9 3 9 4 5 6 A A A C 4 7 C 3 A 9 2
9 6 A A C 6 B 9 3 A C 6 B 9 5 5 6 C 6 A
C 3 E C 5 3 C 6 C 2 9 3 A A 9 3 9 5 7 A
9 6 9 5 3 C 5 5 3 A A C 2 C 6 A A 9 3 A
8 5 6 9 6 9 5 5 6 C 6 B A B 9 6 C 6 A A
C 3 B C 3 A 9 5 5 5 5 4 4 6 A 9 5 3 A A
B 8 6 9 2 A C 3 9 3 9 5 5 3 A C 3 A C 2
8 6 9 6 E A D 4 6 A A D 1 6 8 7 A C 3 A
A B A 9 3 C 5 3 D 6 C 3 A D 2 9 4 7 A A
C 2 C 6 C 1 7 C 5 5 5 6 C 3 8 6 B 9 6 A
B C 3 B 9 2 9 5 1 1 7 9 5 6 C 3 A A D 6
8 3 A A A E A 9 6 A 9 6 9 5 7 C 2 C 5 3
A A C 2 C 5 6 C 3 A A D 2 9 5 5 4 5 7 A
A C 3 C 5 3 9 3 A A C 3 A C 1 7 9 5 5 2
8 3 A D 3 A E A A A B A 8 5 6 9 6 B 9 6
A A C 5 6 C 3 A A A A A A B 9 6 D 2 C 3
A A 9 3 9 3 A A A C 6 A C 6 C 5 3 8 7 A
E C 6 C 6 C 4 6 C 5 5 4 5 5 5 5 6 C 5 6
0,0
9,9

